count	DATE2	PRCP	SNWD	SNOW	TMAX	TMIN	AWND2	weekday	isWeekend
1319	10/28/2013	0.0	0.0	0.0	61	43	4.5	1	0
1390	11/08/2013	0.0	0.0	0.0	50	40	8.7	5	0
1299	12/02/2015	0.14	0.0	0.0	57	46	2.9	3	0
1455	12/05/2008	0.0	0.0	0.0	41	32	4.9	5	0
934	12/24/2012	0.07	0.0	0.0	40	33	3.6	1	0
1027	01/09/2015	0.07	0.0	1.5	33	19	8.7	5	0
1136	01/28/2009	0.97	3.0	3.0	41	24	9.6	3	0
1321	02/12/2011	0.0	8.0	0.0	40	30	8.5	6	1
1427	02/24/2010	0.42	0.0	0.0	42	36	7.8	3	0
1076	03/24/2013	0.0	0.0	0.0	47	33	5.1	7	1
1456	04/04/2008	0.63	0.0	0.0	53	42	6.0	5	0
1355	04/24/2010	0.0	0.0	0.0	68	46	5.6	6	1
1480	05/13/2014	0.0	0.0	0.0	73	53	7.2	2	0
1680	05/15/2007	0.0	0.0	0.0	84	56	7.4	2	0
1296	06/20/2009	0.28	0.0	0.0	71	63	3.6	6	1
1211	08/23/2010	1.05	0.0	0.0	70	65	8.1	1	0
1308	08/23/2014	0.01	0.0	0.0	77	67	4.7	6	1
1466	08/30/2012	0.0	0.0	0.0	82	61	3.6	4	0
1421	10/08/2010	0.0	0.0	0.0	73	54	6.3	5	0
1806	11/01/2006	0.01	0.0	0.0	69	57	2.9	3	0
1343	11/03/2008	0.01	0.0	0.0	58	45	1.6	1	0
1108	11/16/2008	0.15	0.0	0.0	60	40	11.2	7	1
1440	12/11/2015	0.0	0.0	0.0	61	50	4.7	5	0
980	12/18/2011	0.0	0.0	0.0	31	22	4.5	7	1
1351	01/13/2007	0.06	0.0	0.0	56	45	5.8	6	1
1320	01/18/2013	0.0	0.0	0.0	35	25	6.7	5	0
1478	01/19/2011	0.07	2.0	0.0	41	35	5.6	3	0
1249	02/09/2010	0.0	0.0	0.0	42	28	5.1	2	0
1265	03/03/2011	0.0	0.0	0.0	33	20	5.6	4	0
1199	03/04/2007	0.0	0.0	0.0	40	33	8.7	7	1
1544	03/18/2010	0.0	0.0	0.0	69	50	3.4	4	0
1202	04/28/2008	1.18	0.0	0.0	58	47	6.9	1	0
1457	04/30/2012	0.0	0.0	0.0	62	43	4.0	1	0
1250	05/21/2012	1.4	0.0	0.0	62	57	7.2	1	0
1379	05/23/2013	1.81	0.0	0.0	80	64	5.4	4	0
1487	06/22/2010	0.27	0.0	0.0	87	71	3.8	2	0
1591	07/10/2006	0.0	0.0	0.0	82	67	5.8	1	0
1433	07/25/2014	0.0	0.0	0.0	82	66	4.3	5	0
1415	08/05/2011	0.0	0.0	0.0	86	70	4.5	5	0
1568	08/20/2014	0.0	0.0	0.0	84	70	2.2	3	0
1546	08/28/2007	0.0	0.0	0.0	83	68	1.3	2	0
1547	09/22/2009	0.0	0.0	0.0	73	64	2.9	2	0
1421	09/22/2012	0.22	0.0	0.0	76	60	3.1	6	1
1467	09/23/2015	0.0	0.0	0.0	80	59	2.9	3	0
1468	10/14/2015	0.0	0.0	0.0	69	57	3.8	3	0
1422	10/20/2012	0.0	0.0	0.0	69	54	3.6	6	1
1132	12/05/2014	0.51	0.0	0.0	44	34	6.0	5	0
1398	12/06/2013	0.73	0.0	0.0	62	37	5.8	5	0
845	12/31/2014	0.0	0.0	0.0	32	27	5.6	3	0
1271	01/02/2006	0.63	0.0	0.0	48	39	4.7	1	0
1078	01/04/2009	0.0	0.0	0.0	42	25	7.6	7	1
1458	01/22/2008	0.0	0.0	0.0	39	23	6.9	2	0
1431	03/24/2006	0.0	0.0	0.0	52	39	6.9	5	0
1286	04/12/2013	0.63	0.0	0.0	47	41	11.2	5	0
1312	05/09/2008	1.27	0.0	0.0	64	48	11.2	5	0
1395	06/08/2015	0.06	0.0	0.0	79	63	6.0	1	0
1177	06/13/2010	0.3	0.0	0.0	78	65	6.3	7	1
1600	07/24/2008	0.66	0.0	0.0	81	69	6.5	4	0
1482	08/18/2015	0.29	0.0	0.0	90	73	4.0	2	0
1478	09/18/2006	0.0	0.0	0.0	83	65	0.0	1	0
1443	09/18/2013	0.0	0.0	0.0	72	51	2.7	3	0
1029	12/11/2011	0.0	0.0	0.0	39	29	3.8	7	1
1079	02/17/2008	0.23	0.0	0.0	53	30	7.8	7	1
1214	03/17/2014	0.0	0.0	0.0	35	23	8.1	1	0
