count	NTACODE	NTANAME	POP_TOT	POP_MALE_RT	POP_FEMALE_RT	RACE_HIS_LAT_RT	RACE_WHITE_RT	RACE_BLACK_RT	RACE_ASIAN_RT	POP_UNDER10YR_RT	POP_10TO19YR_RT	POP_20TO59YR_RT	POP_OVER60YR_RT	LABOR_FORCE	HOUSEHOLD_TOT	HOUSEHOLD_INCOME_AVE	EMPLOYED_RT	UNEMPLOYED_RT	HOUSEHOLD_WITHEARNING_RT	HOUSEHOLD_FOODSTAMP_RT	HOUSEHOLD_LT25K_RT	HOUSEHOLD_25KTO50K_RT	HOUSEHOLD_50KTO200K_RT	HOUSEUNITS_TOT	HOUSEUNITS_OCCUPIED	HOUSEUNITS_VACANT_RT	HOUSEUNITS_NOPLUMBING_RT	HOUSEUNITS_NOKITCHEN_RT	HOUSEUNITS_NOPHONE_RT	HOUSEUNITS_OWNER_RT	HOUSEUNITS_RENTER_RT	POP_OVER25YR	EDU_LT12_RT	EDU_PRIORCOLLEGE_RT	EDU_COLLEGE_RT	POP_PERHOUSEHOLD	RPT_YR	COUNT_PER1K
871	QN23	College Point	24199	0.50750030993	0.49249969007	0.362866234142	0.324021653787	0.022562915823	0.268027604446	0.120418199099	0.119219802471	0.562791850903	0.197570147527	12822	7749	74.0147115756	0.900483543908	0.099516456091	0.842560330364	0.101561491805	0.161698283649	0.259775454897	0.536069170215	8405	7749	0.0780487804877	0.00261748958953	0.00309339678762	0.019750148721	0.46780229707	0.532197702929	16809	0.215955737997	0.546017014694	0.238027247308	2.87911957168	2007	35.99322
590	QN62	Queensboro Hill	20989	0.489970937157	0.510029062842	0.146362380294	0.169660298251	0.0151984372767	0.635904521416	0.122540378293	0.117585401877	0.587688789366	0.172185430463	10513	6384	67.3789943608	0.905260154094	0.094739845905	0.844141604009	0.0864661654134	0.1953320802	0.268796992481	0.492011278195	6792	6384	0.060070671378	0.00647820965841	0.0287102473498	0.0206124852768	0.60354010025	0.396459899749	14540	0.236451169188	0.468775790921	0.29477303989	3.0902532391	2007	28.109962
2168	SI24	Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill	31931	0.472487551282	0.527512448717	0.0919169459146	0.742569916382	0.0253985155491	0.131721524537	0.0937959976198	0.133130813316	0.532241395509	0.240831793555	15572	11096	95.4213229992	0.95055227331	0.0494477266889	0.81371665465	0.0612833453496	0.1239185292	0.176550108147	0.605623648161	11739	11096	0.0547746826816	0.00826305477468	0.0103075219354	0.0108186387256	0.800558759913	0.199441240086	22638	0.120593692022	0.53882851842	0.340577789557	2.72007837124	2007	67.8964
682	BK40	Windsor Terrace	22571	0.473971024766	0.526028975233	0.156395374596	0.660006202649	0.0583492091622	0.09782464224	0.118647822427	0.0777546409109	0.64742368526	0.156173851402	13787	9510	93.3966876971	0.941394066874	0.0586059331254	0.848370136697	0.0656151419558	0.162565720294	0.159411146162	0.572660357518	10030	9510	0.0518444666001	0.00199401794616	0.00957128614157	0.0226321036889	0.450788643533	0.549211356466	16327	0.0967109695596	0.344827586207	0.558461444233	2.25034895314	2008	30.215763
3499	QN54	Richmond Hill	65199	0.495299007653	0.504700992346	0.349468550131	0.103084403135	0.0931302627341	0.298271445881	0.123759566865	0.150953235479	0.592171659074	0.133115538582	34091	17535	70.1752209866	0.897920272212	0.102079727787	0.894325634445	0.165611633875	0.196065012831	0.235471913316	0.540690048474	18828	17535	0.0686743148502	0.00823241980029	0.0131187592947	0.0210856171659	0.48377530653	0.51622469347	41963	0.268546100136	0.521244906227	0.210208993637	3.46287444232	2008	53.666466
826	SI07	Westerleigh	24202	0.494628543095	0.505371456904	0.118667878688	0.767168002644	0.0173539376911	0.0731757705974	0.10953640195	0.129328154698	0.54602925378	0.215106189571	12003	9083	94.7654959814	0.934016495875	0.0659835041239	0.777056038753	0.0505339645491	0.136738962898	0.130463503248	0.670373224705	9674	9083	0.0610915856935	0.00217076700434	0.00723589001446	0.00547860243952	0.736430694704	0.263569305295	17081	0.0887535858556	0.593993325917	0.317253088226	2.50175728757	2008	34.12941
2459	MN06	Manhattanville	23845	0.472468022646	0.527531977354	0.55827217446	0.0879429649821	0.289830153072	0.0351855734955	0.111386034808	0.135919479975	0.599370937303	0.153323547914	10953	8130	40.3560885608	0.905687939377	0.0943120606226	0.71328413284	0.297047970479	0.492004920049	0.240590405904	0.257687576875	8810	8130	0.077185017026	0.00261066969353	0.00261066969353	0.0633371169125	0.0293972939729	0.970602706026	15422	0.369277655297	0.432239657632	0.19848268707	2.70658342792	2009	103.124344
2101	QN17	Forest Hills	84694	0.453137176187	0.546862823813	0.122960304154	0.585283491156	0.0255626136444	0.243523744303	0.106028762368	0.0773844664321	0.573393628828	0.243193142371	46207	38771	85.0515849475	0.926764343065	0.0732356569351	0.77147868252	0.074359701839	0.183307110985	0.176214180702	0.565113099997	41717	38771	0.0706186926193	0.00378742479085	0.00522568736966	0.0149579308196	0.476902839751	0.523097160249	65663	0.0746843732391	0.378234317652	0.547081309109	2.03020351415	2009	24.806952
664	QN43	Bellerose	25964	0.500154059467	0.499845940533	0.149437682946	0.354991526729	0.0618163611154	0.385495301186	0.117701432753	0.131990448313	0.574680326606	0.175627792328	13234	8110	90.3338471022	0.918467583496	0.0815324165029	0.834895191121	0.0508014796547	0.107398273736	0.189889025894	0.636374845869	8908	8110	0.0895823978445	0.00819488100583	0.0101032779524	0.0196452626852	0.721948212083	0.278051787916	17989	0.108788704208	0.513813997443	0.377397298349	2.91468343062	2010	25.573872
3479	BX17	East Tremont	41871	0.451553581238	0.548446418762	0.69348713907	0.0218767165819	0.268730147357	0.00804853000883	0.167610040362	0.183396622961	0.531035800435	0.117957536242	16734	14245	32.9845559845	0.811939763356	0.188060236644	0.6351000351	0.51246051246	0.577816777816	0.224991224991	0.196279396279	15495	14245	0.0806711842529	0.00929332042594	0.00684091642465	0.0810584059373	0.0723762723762	0.927623727623	23179	0.397428707019	0.505888951206	0.0966823417748	2.70222652468	2011	83.08853
